Time (s),Avg Acc Displacement (in),Avg Acc Velocity (in/s),Avg Acc Acceleration (in/s²),Lin Acc Displacement (in),Lin Acc Velocity (in/s),Lin Acc Acceleration (in/s²),Central Diff Displacement (in),Central Diff Velocity (in/s),Central Diff Acceleration (in/s²),Wilson's Displacement (in),Wilson's Velocity (in/s),Wilson's Acceleration (in/s²)
0.01,0.0,0.0,-96.525,0.0,0.0,-96.525,0.0,0.0,-96.525,0.0,0.0,-96.525
0.02,-0.00458485210722109,-0.916970421444218,-86.8690842888436,-0.004664328221604887,-0.9166734664814656,-86.80969329629312,0.0,-0.4670506432251889,-93.41012864503779,-0.004318836048750056,-0.8891379073125084,-81.30258146250168
0.03,-0.017712594024143383,-1.7085779619402408,-71.45242381036093,-0.017913158971900423,-1.7072538256442642,-71.3063785362666,-0.009341012864503779,-1.3361065796777916,-80.40105864548275,-0.01673429938177933,-1.6210069999543917,-65.07123706587495
0.04,-0.037878957471950726,-2.3246947276212273,-51.77092932583639,-0.03822138153319323,-2.3214272244179806,-51.528301218476656,-0.026722131593555833,-2.0492287630436152,-62.22337802768195,-0.035550996023419976,-2.174679088933588,-45.663180729964296
0.05,-0.06315864283012515,-2.7312423440136575,-29.538593952649677,-0.06364005979056997,-2.725107522284677,-29.20775835486259,-0.05032558812537608,-2.563190920869773,-40.56905353754962,-0.058886756389093256,-2.527182462209109,-24.83749392513998
0.06,-0.09137322966245119,-2.9116750224515506,-6.547941734928962,-0.09196729822404583,-2.9019176936990903,-6.1542759280201125,-0.0779859500109513,-2.8524394638154518,-17.28065505158617,-0.08471138216115234,-2.6721963695171587,-4.165287536469954
0.07,-0.12026701735211852,-2.867082515481915,15.466443128856154,-0.12092688647238008,-2.853269707461994,15.883873175439339,-0.10737437740168512,-2.9098624584208657,5.796056130503435,-0.11100509438096767,-2.618371867054895,14.930188028922638
0.08,-0.14767739416850903,-2.6149928477961875,34.95149040828931,-0.14834104106618562,-2.5971263290948707,35.344802497985256,-0.1361831991793686,-2.7461308602620402,26.950263501261674,-0.13589784523820436,-2.3874012249857497,31.263940384906466
0.09,-0.17168758355387131,-2.1870450292762698,50.63807329569426,-0.172284870747256,-2.165620258621303,50.95641159672826,-0.16229699460692593,-2.387753382486883,44.725232053769716,-0.15778579447251154,-2.0113319216909344,43.94992027405659
0.1,-0.190751679042634,-1.6257740684762645,61.616118864306806,-0.1912123295215213,-1.6017791730206246,61.81180552340746,-0.18393826682910627,-1.8740733779452567,58.01076885455558,-0.17541876069024237,-1.5294041711290158,52.43562983832713
0.11,-0.20378455124472983,-0.9808003719429036,67.37862044236539,-0.20404617854758508,-0.9556553893949193,67.41295120173359,-0.19977846216583106,-1.2535004348674952,66.10381976099671,-0.18795519475599257,-0.9846739497022071,56.510414447034606
0.12,-0.21021225711491298,-0.304740802093727,67.83329352746992,-0.21022761118056574,-0.28018376711302584,67.68137325464511,-0.20900827552645618,-0.579307683537239,68.73473050505451,-0.19498378586670725,-0.42067565563851317,56.28924436570418
0.13,-0.20998175604303482,0.35084101646935995,63.283070185147466,-0.2097244497274304,0.3729091038934269,62.93720094664545,-0.21136461583657584,0.09466309764309677,66.05942573101264,-0.19651321081332013,0.1216471967415863,52.17532611031572
0.14,-0.2035317981961315,0.9391505529113008,54.3788371032407,-0.2029999498192722,0.9568457599273819,53.850130260145534,-0.20711501357359424,0.7180616767727229,58.6202900949126,-0.19293361495606093,0.6065540954938773,44.806053640142466
0.15,-0.19172958066760495,1.421292952794011,42.04964287330135,-0.19094702603061037,1.4329349654430557,41.3677108429892,-0.19700338230112138,1.2475666006577166,47.28069468208612,-0.1849550544262742,1.0055221658214264,34.98756042536735
0.16,-0.17577998702282752,1.7686257761614765,27.41692180019173,-0.17479495774243134,1.772912001352651,26.627696338929866,-0.1821636815604399,1.6496688860471898,33.13976239580851,-0.1735292583999665,1.298577222098861,23.623450830119552
0.17,-0.15711580523530266,1.9642105813434942,11.700039236211794,-0.15599721546225903,1.9603601996517408,10.861943320888102,-0.1640100045801776,1.9025427836193252,17.435017118618557,-0.1597616556571833,1.4749104274433498,11.643190238778217
0.18,-0.13727818250973822,2.0033139637693935,-3.879362751031927,-0.136109890510379,1.991167369656087,-4.70050932001886,-0.1441128258880534,1.9969227365799973,1.4409734735157387,-0.1448206594654622,1.5328021906334408,-0.06483760076001843
0.19,-0.11779670510069067,1.892981518040118,-18.187126394823174,-0.11667030003597216,1.8730449496099724,-18.923974689204044,-0.12407154984857764,1.9359851408190492,-13.628492625705478,-0.12985076398992038,1.4789211320126505,-10.711374123398041
0.2,-0.1000779239465138,1.650774712795256,-30.25423465414925,-0.09908471620913113,1.624205122278384,-30.843990777113625,-0.10539312307167242,1.7343079727689787,-26.706940984308616,-0.11589514887597988,1.3271032657762554,-19.65219912388101
0.21,-0.08530996851643759,1.3028163732199862,-39.33743326090467,-0.08453292453446297,1.271347211729249,-39.727591332713374,-0.08938539039319807,1.4160455446044737,-36.94554464859237,-0.10383231344400955,1.0967431840977193,-26.419817211826214
0.22,-0.07438922687924387,0.8813319542187563,-44.959450539341326,-0.07389558293261875,0.8471460137583355,-45.11264826146932,-0.07707221217958295,1.0125054397017177,-43.762476331958844,-0.09432987853522513,0.8109441012392367,-30.73999935987031
0.23,-0.06787307253009303,0.4218989156114122,-46.927157182127495,-0.06770828966780482,0.38745919323485467,-46.824715843226855,-0.06913528159916371,0.5593472827788548,-46.86915505261374,-0.087817217411775,0.4945771194982247,-32.533396988332086
0.24,-0.06596045559036937,-0.03937552766667907,-45.32773147349075,-0.06614404772510844,-0.07152222444466305,-44.971567692676686,-0.06588526652400585,0.09363708217577163,-46.27288506800289,-0.08447711830061488,0.17239281445407773,-31.90346402049731
0.25,-0.06850001677309957,-0.4685367088793613,-40.50450476904569,-0.06902360975409796,-0.4959663213441468,-39.91725168722006,-0.06726253995564828,-0.3490134109106528,-42.25721354928199,-0.08425533997489648,-0.13268831842052153,-29.112762554422545
0.26,-0.07502338514461898,-0.8361369654245214,-33.01554653998634,-0.0758511627486267,-0.8567469972342274,-32.238883490796056,-0.07286553474221891,-0.7370140429895783,-35.34291286650309,-0.08688578079753541,-0.40100387057163384,-24.550347875799915
0.27,-0.08479962147853345,-1.1191103013583732,-23.579120646784027,-0.08587110330471878,-1.131293754905189,-22.670468043396255,-0.08200282081543984,-1.044897375801093,-26.233753695799887,-0.0919281021429517,-0.6172221362161274,-18.693305253098814
0.28,-0.0969054736541612,-1.3020601337671764,-13.010845834976635,-0.09814036849530802,-1.3048397071494129,-12.038722405448539,-0.09376348225824077,-1.2548266584039915,-15.75210282477979,-0.09881406659583904,-0.7710168629577827,-12.06564009523224
0.29,-0.11030528853276717,-1.3779028419540158,-2.157695802391226,-0.11160999209168396,-1.3710140525867116,-1.1961466820112108,-0.10709935398351968,-1.3574362476576272,-4.76981502594731,-0.10689858315993621,-0.8573331533737665,-5.197617987964517
0.3,-0.12393410636413286,-1.347860724319124,8.166119329369561,-0.1252092784804294,-1.3317770780401528,9.04354159132296,-0.12091220721139331,-1.3519847579830762,5.860112960857505,-0.1155114863369599,-0.8762629448365811,1.411659695401589
0.31,-0.136777640480215,-1.2208460988973053,17.236805754994197,-0.13792621462862337,-1.1967443963345,17.962994749807596,-0.1341390491431812,-1.245853852401585,15.366068155440725,-0.12400638361340895,-0.8325739698105623,7.326135309802158
0.32,-0.1479434724923472,-1.0123203035291344,24.468353318640002,-0.14887842479401278,-0.9819892306968626,24.98803837771986,-0.145829284259425,-1.0534723616873674,23.110229987402807,-0.13180344058332424,-0.7349562223075076,12.19741419080879
0.33,-0.15671879683635037,-0.7427445652714977,29.446794332887325,-0.15737003376013645,-0.7084444203319736,29.720923695257937,-0.15520849637692855,-0.7947832196072854,28.627598428613563,-0.13842367697708327,-0.595063812433082,15.781067784076328
0.34,-0.16261133084954246,-0.4357622373669205,31.949671248028114,-0.1629311398659628,-0.40004760956024976,31.958438459086835,-0.16172494865157072,-0.49339728400932953,31.649588690977613,-0.14351315603251633,-0.42643728263822356,17.944238174895375
0.35,-0.1653714558873588,-0.11626277019634657,31.950222186086673,-0.16533809293217588,-0.08178289303885877,31.69450484519136,-0.16507644205711514,-0.1745922136572542,32.11142537943745,-0.14685629819872642,-0.24339208817516395,18.664800717716545
0.36,-0.1649951543966115,0.19152306834580646,29.60694552234393,-0.16461430400998922,0.22222993850775968,29.108061464132334,-0.1652167929247158,0.13668405891781865,30.143829135577114,-0.148378375565351,-0.05995355911181127,18.02290509495399
0.37,-0.16170874419096026,0.4657589727844407,25.24023536538291,-0.1610127682093631,0.4904605558516518,24.538062004646093,-0.16234276087875876,0.41765635849045496,26.050630778950143,-0.14813799037627656,0.11109182065445408,16.18617085829908
0.38,-0.15593768305285416,0.6884532548367802,19.29862104508499,-0.15498275629913671,0.7053921513413848,18.448257093300484,-0.1568636657549067,0.649283982590157,20.274894040990254,-0.14631096467582688,0.2589733718859728,13.390139388004663
0.39,-0.14826274133200382,0.8465350893332882,12.317745854216618,-0.14712414271491242,0.8545584871180162,11.385010062025792,-0.14935708122695562,0.8174425534603597,13.356820133050284,-0.14316753632331114,0.37550291540438435,9.915769315677643
0.4,-0.13936755793526345,0.9325015900147844,4.8755542820826,-0.1381335291040822,0.9311420587029068,3.931704254952326,-0.1405148146856995,0.9136622054375904,5.887110262395856,-0.1390450507928196,0.45541079516073213,6.065806635591908
0.41,-0.12998197279517226,0.9446154380034537,-2.4527846843487464,-0.12874666297030748,0.9341172014518367,-3.3366757051663303,-0.13108383711820382,0.935395578608629,-1.5404356281881193,-0.13431845360960146,0.4964486964913341,2.1417736305284834
0.42,-0.12082556040099685,0.8866670408316297,-9.13689475001604,-0.11968163760389937,0.8679565855445931,-9.895447476282394,-0.12180690311352693,0.8858259384844768,-8.3734923966422,-0.12937083307529565,0.499273165976525,-1.576879733490311
0.43,-0.11255549390019137,0.7673462593294649,-14.72726155041694,-0.11158701584113553,0.7419505951213761,-15.305750608361016,-0.11336731834851428,0.773259440902281,-14.139807119796787,-0.12456605634319809,0.4671377274926472,-4.85020796328525
0.44,-0.10572228996633616,0.5992945274415773,-18.883084827160573,-0.1049983927018389,0.5692145045880426,-19.24146749830569,-0.10634171429548131,0.610173796395927,-18.477321781474043,-0.12022521194942867,0.4054322754108763,-7.490882453068931
0.45,-0.10073618158698992,0.3979271484276702,-21.390390975620846,-0.10030606501950591,0.3654766330153407,-21.506106816234684,-0.10116384242059574,0.41201660158876674,-21.154117179957993,-0.11660815265894565,0.32111554973434314,-9.3724626822377
0.46,-0.09784591223561602,0.18012672184711048,-22.16969434049109,-0.09773548630176053,0.14775088337410622,-22.039043112012216,-0.09810138226370597,0.19585929256407883,-22.077344624979595,-0.11390096115018544,0.22208979474126533,-10.432688316377863
0.47,-0.09713072006066219,-0.037088286856343966,-21.273307400199798,-0.09734113441454638,-0.06700098502390617,-20.911330567590262,-0.09724665656931417,-0.02098337408939499,-21.291188705715168,-0.11220967510406397,0.1165662887566438,-10.672012880546443
0.48,-0.09850526443847084,-0.2378205887053862,-18.873152969608647,-0.09901338969181303,-0.2631179602942318,-18.31206448647486,-0.09852104974549387,-0.22226292414362844,-18.96472130513152,-0.1115601427816643,0.012466671780262964,-10.147910514729723
0.49,-0.10173631350597681,-0.4083892247958084,-15.240574248475795,-0.10249708643945915,-0.4273127812729981,-14.526899709278396,-0.10169191505218673,-0.3939425653098856,-15.371206928119912,-0.11190346567757822,-0.08310154656404391,-8.965733154131652
0.5,-0.10646922337994269,-0.5381927499973674,-10.72013079183601,-0.1074196244333783,-0.5495013370833556,-9.91081145279309,-0.10639990105169159,-0.5251033877049637,-10.860957550895694,-0.11312614553187507,-0.1642655377478347,-7.267065082626509
0.51,-0.112261646242193,-0.6202918224526934,-5.69968369922919,-0.11332595612076031,-0.6233427747839274,-4.857476087321267,-0.11219398280628601,-0.6085590845217169,-5.830181812454954,-0.11506380567000697,-0.2266839145524343,-5.2166102782934125
0.52,-0.11862153654932317,-0.6516862389733417,-0.5791996049004533,-0.11971742885963989,-0.646468891659412,0.2322527122243443,-0.11857108274212592,-0.6411520681583571,-0.6884149148730923,-0.11751721020285977,-0.26771024834743395,-2.9886564807065206
0.53,-0.12504639500684858,-0.6332854525317407,4.259356893220637,-0.12609136955188877,-0.6204056879169609,4.980388036265878,-0.12501702416945315,-0.6237294164104339,4.172945264457745,-0.12026926013059909,-0.2864240061889465,-0.754095087595986
0.54,-0.13106079304220314,-0.5695941545391706,8.478902705293388,-0.13197844264911499,-0.5502124935152733,9.058250844071647,-0.1310456710703346,-0.560821110052416,8.408716007145822,-0.12310169674260968,-0.28353872642610467,1.3311510401643445
0.55,-0.1362495340117369,-0.4681540393675806,11.809120329024614,-0.1369751661196428,-0.44388330834815737,12.207586189351542,-0.13623344637050147,-0.46006382067696194,11.742741867944995,-0.12581037767034248,-0.26120489834645644,3.1356145757653
0.56,-0.14028429495560343,-0.33879814940572717,14.062057663346073,-0.14076949407273012,-0.31156970017663826,14.25513544495228,-0.14024694748387384,-0.33142973027052436,13.984076213342522,-0.12821819260004347,-0.22273075384250784,4.559214325024417
0.57,-0.14294220757456433,-0.1927843743864518,15.140697340509002,-0.14315801979094422,-0.16469399233571538,15.120006123232294,-0.14286204097591196,-0.18633059466594548,15.035750907573252,-0.1301849339509716,-0.17224778990540968,5.537378462395214
0.58,-0.14411552607547073,-0.04187932579482945,15.04031237781547,-0.14405406360251669,-0.015025189416469104,14.813754460616963,-0.14397355937719275,-0.03667205429559034,14.895957166497775,-0.1316137113010056,-0.11434926139640407,6.042327239405907
0.59,-0.14381223738058233,0.10253706477251134,13.842965735652689,-0.14348662969457976,0.12621177891093122,13.433639204863098,-0.14359548206182376,0.10606792714250718,13.652039121121728,-0.1324537757129065,-0.05372921298841746,6.081682442191415
0.6,-0.1421481427979708,0.23028185174979254,11.705991659803553,-0.14159089093455046,0.24912987416261123,11.149979845472906,-0.1418522008343426,0.23166918679559528,11.468212809495892,-0.13269988174897684,0.005152907189139709,5.694741593320018
0.61,-0.13933153236190274,0.333040235463821,8.845685083002136,-0.138591444061722,0.3458244142959525,8.188928181195347,-0.13896209832591186,0.3318519173208023,8.568333295545516,-0.1323885440936954,0.05836104868094481,4.946886705041003
0.62,-0.13564204540034902,0.4048571568469225,5.51769919361816,-0.13478003202575814,0.41083014129127526,4.8122172178692,-0.13521516248792656,0.4007701702496147,5.215317290216959,-0.13159172934024937,0.10270890543903546,3.9226846465771263
0.63,-0.13140563640907402,0.44242464140807825,1.9957977186129927,-0.13048973045907036,0.4413691013344364,1.2955747907630268,-0.13094669492091957,0.4352916308905469,1.6889748379694813,-0.13040865298027457,0.1359137128931463,2.718276844245043
0.64,-0.1269677294309595,0.4451567542148268,-1.4493751572632783,-0.1260677289477736,0.43738437676634123,-2.092519704382061,-0.12650932987011562,0.4350565517997479,-1.7359906561292826,-0.12895642285490094,0.15667335447008485,1.4336514711426638
0.65,-0.12266664504186664,0.41506012360374356,-4.5699509649533745,-0.12184880566029678,0.40137083123227363,-5.110189402431455,-0.12224556388492461,0.4023256939830681,-4.8101809072068065,-0.12736028358894833,0.16466834133570624,0.16534590198161547
0.66,-0.11880923200505873,0.356422483757838,-7.157577004227731,-0.11813140894150854,0.3380283001840805,-7.558316807207179,-0.11846281599045426,0.3416422563780795,-7.3265066137910555,-0.125744176148953,0.16049531008639975,-0.9999521518429113
0.67,-0.1156503515181157,0.27535361363076805,-9.056197021186266,-0.11515794507778311,0.25377414278550514,-9.292514672507888,-0.11541271875736302,0.2593450622179472,-9.132932218235412,-0.12422224028954686,0.14554284348811392,-1.9905411678142557
0.68,-0.11337747495239535,0.17922169951330247,-10.170185802306849,-0.11310045904248063,0.15616009838227332,-10.230294208138474,-0.11327591474609532,0.1629789808470998,-10.140284055934062,-0.12289176543800444,0.12182345306777034,-2.753336916254458
0.69,-0.11210120098507978,0.07603309394981139,-10.467535310391368,-0.11205242132703847,0.05324258890879542,-10.353207686557106,-0.11215313914042102,0.060653275492332515,-10.324857015019395,-0.12182794924422563,0.09177736024229943,-3.2558816488397238
0.7,-0.11185201273215059,-0.026195443363973614,-9.978172152365632,-0.11202683782200235,-0.04704408787396937,-9.704127669995852,-0.11206284923624867,-0.03960081268767138,-9.725960620981382,-0.12108066494046445,0.05806426132092894,-3.486738135434374
0.71,-0.11258311742628914,-0.12002549546373609,-8.787838267586862,-0.11296041918469836,-0.13746559471088646,-8.380173697387566,-0.11294515539417445,-0.13042518845838708,-8.438914533161757,-0.12067328086194702,0.0233586357785626,-3.454386973038895
0.72,-0.11417877495846743,-0.1991060109719215,-7.028264834050217,-0.11472311568775803,-0.21197689300919065,-6.52208596227327,-0.11467135300541641,-0.20564131403548527,-6.604310582257883,-0.1206034289183253,-0.00983749377862106,-3.184838938397837
0.73,-0.11646715656554983,-0.25857031044455936,-4.864595060477358,-0.11713197176307923,-0.26609260676661073,-4.301056789210747,-0.11705798167488415,-0.26063579061966696,-4.39458473457846,-0.12084549265027766,-0.039352910249537784,-2.718244355785508
0.74,-0.1192365033664982,-0.29529904974511445,-2.4811527996336586,-0.11996800228901747,-0.297118660302197,-1.9041539179065126,-0.11988406881780975,-0.2926040945553515,-1.9990760525584461,-0.12135448668249967,-0.06346826059799593,-2.1048257139061217
